词语       十进制 符号化反转二进制 二进制    反转二进制
ancient      41       ●○○●○●○○○○ 0000101001   1001010000  
angel        42       ○●○●○●○○○○ 0000101010   0101010000  
angry        43       ●●○●○●○○○○ 0000101011   1101010000  
animal       44       ○○●●○●○○○○ 0000101100   0011010000  
answer       45       ●○●●○●○○○○ 0000101101   1011010000  
antenna      46       ○●●●○●○○○○ 0000101110   0111010000  
anxiety      47       ●●●●○●○○○○ 0000101111   1111010000  
apart        48       ○○○○●●○○○○ 0000110000   0000110000  
aquatic      49       ●○○○●●○○○○ 0000110001   1000110000  
arcade       50       ○●○○●●○○○○ 0000110010   0100110000  
arena        51       ●●○○●●○○○○ 0000110011   1100110000  
argue        52       ○○●○●●○○○○ 0000110100   0010110000  
armed        53       ●○●○●●○○○○ 0000110101   1010110000  
artist       54       ○●●○●●○○○○ 0000110110   0110110000  
artwork      55       ●●●○●●○○○○ 0000110111   1110110000  
aspect       56       ○○○●●●○○○○ 0000111000   0001110000  
auction      57       ●○○●●●○○○○ 0000111001   1001110000  
august       58       ○●○●●●○○○○ 0000111010   0101110000  
aunt         59       ●●○●●●○○○○ 0000111011   1101110000  
average      60       ○○●●●●○○○○ 0000111100   0011110000  
aviation     61       ●○●●●●○○○○ 0000111101   1011110000  
avoid        62       ○●●●●●○○○○ 0000111110   0111110000  
award        63       ●●●●●●○○○○ 0000111111   1111110000  
away         64       ○○○○○○●○○○ 0001000000   0000001000  
axis         65       ●○○○○○●○○○ 0001000001   1000001000  
axle         66       ○●○○○○●○○○ 0001000010   0100001000  
beam         67       ●●○○○○●○○○ 0001000011   1100001000  
beard        68       ○○●○○○●○○○ 0001000100   0010001000  
beaver       69       ●○●○○○●○○○ 0001000101   1010001000  
become       70       ○●●○○○●○○○ 0001000110   0110001000  
bedroom      71       ●●●○○○●○○○ 0001000111   1110001000  
behavior     72       ○○○●○○●○○○ 0001001000   0001001000  
being        73       ●○○●○○●○○○ 0001001001   1001001000  
believe      74       ○●○●○○●○○○ 0001001010   0101001000  
belong       75       ●●○●○○●○○○ 0001001011   1101001000  
benefit      76       ○○●●○○●○○○ 0001001100   0011001000  
best         77       ●○●●○○●○○○ 0001001101   1011001000  
beyond       78       ○●●●○○●○○○ 0001001110   0111001000  
bike         79       ●●●●○○●○○○ 0001001111   1111001000  
biology      80       ○○○○●○●○○○ 0001010000   0000101000  
birthday     81       ●○○○●○●○○○ 0001010001   1000101000  
bishop       82       ○●○○●○●○○○ 0001010010   0100101000  
black        83       ●●○○●○●○○○ 0001010011   1100101000  
blanket      84       ○○●○●○●○○○ 0001010100   0010101000  
blessing     85       ●○●○●○●○○○ 0001010101   1010101000  
blimp        86       ○●●○●○●○○○ 0001010110   0110101000  
blind        87       ●●●○●○●○○○ 0001010111   1110101000  
blue         88       ○○○●●○●○○○ 0001011000   0001101000  
body         89       ●○○●●○●○○○ 0001011001   1001101000  
bolt         90       ○●○●●○●○○○ 0001011010   0101101000  
boring       91       ●●○●●○●○○○ 0001011011   1101101000  
born         92       ○○●●●○●○○○ 0001011100   0011101000  
both         93       ●○●●●○●○○○ 0001011101   1011101000  
boundary     94       ○●●●●○●○○○ 0001011110   0111101000  
bracelet     95       ●●●●●○●○○○ 0001011111   1111101000  
branch       96       ○○○○○●●○○○ 0001100000   0000011000  
brave        97       ●○○○○●●○○○ 0001100001   1000011000  
breathe      98       ○●○○○●●○○○ 0001100010   0100011000  
briefing     99       ●●○○○●●○○○ 0001100011   1100011000  
broken       100      ○○●○○●●○○○ 0001100100   0010011000  
brother      101      ●○●○○●●○○○ 0001100101   1010011000  
browser      102      ○●●○○●●○○○ 0001100110   0110011000  
bucket       103      ●●●○○●●○○○ 0001100111   1110011000  
budget       104      ○○○●○●●○○○ 0001101000   0001011000  
building     105      ●○○●○●●○○○ 0001101001   1001011000  
bulb         106      ○●○●○●●○○○ 0001101010   0101011000  
bulge        107      ●●○●○●●○○○ 0001101011   1101011000  
bumpy        108      ○○●●○●●○○○ 0001101100   0011011000  
bundle       109      ●○●●○●●○○○ 0001101101   1011011000  
burden       110      ○●●●○●●○○○ 0001101110   0111011000  
burning      111      ●●●●○●●○○○ 0001101111   1111011000  
busy         112      ○○○○●●●○○○ 0001110000   0000111000  
buyer        113      ●○○○●●●○○○ 0001110001   1000111000  
cage         114      ○●○○●●●○○○ 0001110010   0100111000  
calcium      115      ●●○○●●●○○○ 0001110011   1100111000  
camera       116      ○○●○●●●○○○ 0001110100   0010111000  
campus       117      ●○●○●●●○○○ 0001110101   1010111000  
canyon       118      ○●●○●●●○○○ 0001110110   0110111000  
capacity     119      ●●●○●●●○○○ 0001110111   1110111000  
capital      120      ○○○●●●●○○○ 0001111000   0001111000  
capture      121      ●○○●●●●○○○ 0001111001   1001111000  
carbon       122      ○●○●●●●○○○ 0001111010   0101111000  
cards        123      ●●○●●●●○○○ 0001111011   1101111000  
careful      124      ○○●●●●●○○○ 0001111100   0011111000  
cargo        125      ●○●●●●●○○○ 0001111101   1011111000  
carpet       126      ○●●●●●●○○○ 0001111110   0111111000  
carve        127      ●●●●●●●○○○ 0001111111   1111111000  
category     128      ○○○○○○○●○○ 0010000000   0000000100  
cause        129      ●○○○○○○●○○ 0010000001   1000000100  
ceiling      130      ○●○○○○○●○○ 0010000010   0100000100  
center       131      ●●○○○○○●○○ 0010000011   1100000100  
ceramic      132      ○○●○○○○●○○ 0010000100   0010000100  
champion     133      ●○●○○○○●○○ 0010000101   1010000100  
change       134      ○●●○○○○●○○ 0010000110   0110000100  
charity      135      ●●●○○○○●○○ 0010000111   1110000100  
check        136      ○○○●○○○●○○ 0010001000   0001000100  
chemical     137      ●○○●○○○●○○ 0010001001   1001000100  
chest        138      ○●○●○○○●○○ 0010001010   0101000100  
chew         139      ●●○●○○○●○○ 0010001011   1101000100  
chubby       140      ○○●●○○○●○○ 0010001100   0011000100  
cinema       141      ●○●●○○○●○○ 0010001101   1011000100  
civil        142      ○●●●○○○●○○ 0010001110   0111000100  
class        143      ●●●●○○○●○○ 0010001111   1111000100  
clay         144      ○○○○●○○●○○ 0010010000   0000100100  
cleanup      145      ●○○○●○○●○○ 0010010001   1000100100  
client       146      ○●○○●○○●○○ 0010010010   0100100100  
climate      147      ●●○○●○○●○○ 0010010011   1100100100  
clinic       148      ○○●○●○○●○○ 0010010100   0010100100  
clock        149      ●○●○●○○●○○ 0010010101   1010100100  
clogs        150      ○●●○●○○●○○ 0010010110   0110100100  
closet       151      ●●●○●○○●○○ 0010010111   1110100100  
clothes      152      ○○○●●○○●○○ 0010011000   0001100100  
club         153      ●○○●●○○●○○ 0010011001   1001100100  
cluster      154      ○●○●●○○●○○ 0010011010   0101100100  
coal         155      ●●○●●○○●○○ 0010011011   1101100100  
coastal      156      ○○●●●○○●○○ 0010011100   0011100100  
coding       157      ●○●●●○○●○○ 0010011101   1011100100  
column       158      ○●●●●○○●○○ 0010011110   0111100100  
company      159      ●●●●●○○●○○ 0010011111   1111100100  
corner       160      ○○○○○●○●○○ 0010100000   0000010100  
costume      161      ●○○○○●○●○○ 0010100001   1000010100  
counter      162      ○●○○○●○●○○ 0010100010   0100010100  
course       163      ●●○○○●○●○○ 0010100011   1100010100  
cover        164      ○○●○○●○●○○ 0010100100   0010010100  
cowboy       165      ●○●○○●○●○○ 0010100101   1010010100  
cradle       166      ○●●○○●○●○○ 0010100110   0110010100  
craft        167      ●●●○○●○●○○ 0010100111   1110010100  
crazy        168      ○○○●○●○●○○ 0010101000   0001010100  
credit       169      ●○○●○●○●○○ 0010101001   1001010100  
cricket      170      ○●○●○●○●○○ 0010101010   0101010100  
criminal     171      ●●○●○●○●○○ 0010101011   1101010100  
crisis       172      ○○●●○●○●○○ 0010101100   0011010100  
critical     173      ●○●●○●○●○○ 0010101101   1011010100  
crowd        174      ○●●●○●○●○○ 0010101110   0111010100  
crucial      175      ●●●●○●○●○○ 0010101111   1111010100  
crunch       176      ○○○○●●○●○○ 0010110000   0000110100  
crush        177      ●○○○●●○●○○ 0010110001   1000110100  
crystal      178      ○●○○●●○●○○ 0010110010   0100110100  
cubic        179      ●●○○●●○●○○ 0010110011   1100110100  
cultural     180      ○○●○●●○●○○ 0010110100   0010110100  
curious      181      ●○●○●●○●○○ 0010110101   1010110100  
curly        182      ○●●○●●○●○○ 0010110110   0110110100  
custody      183      ●●●○●●○●○○ 0010110111   1110110100  
cylinder     184      ○○○●●●○●○○ 0010111000   0001110100  
daisy        185      ●○○●●●○●○○ 0010111001   1001110100  
damage       186      ○●○●●●○●○○ 0010111010   0101110100  
dance        187      ●●○●●●○●○○ 0010111011   1101110100  
darkness     188      ○○●●●●○●○○ 0010111100   0011110100  
database     189      ●○●●●●○●○○ 0010111101   1011110100  
daughter     190      ○●●●●●○●○○ 0010111110   0111110100  
deadline     191      ●●●●●●○●○○ 0010111111   1111110100  
deal         192      ○○○○○○●●○○ 0011000000   0000001100  
debris       193      ●○○○○○●●○○ 0011000001   1000001100  
debut        194      ○●○○○○●●○○ 0011000010   0100001100  
decent       195      ●●○○○○●●○○ 0011000011   1100001100  
decision     196      ○○●○○○●●○○ 0011000100   0010001100  
declare      197      ●○●○○○●●○○ 0011000101   1010001100  
decorate     198      ○●●○○○●●○○ 0011000110   0110001100  
decrease     199      ●●●○○○●●○○ 0011000111   1110001100  
deliver      200      ○○○●○○●●○○ 0011001000   0001001100  
demand       201      ●○○●○○●●○○ 0011001001   1001001100  
density      202      ○●○●○○●●○○ 0011001010   0101001100  
deny         203      ●●○●○○●●○○ 0011001011   1101001100  
depart       204      ○○●●○○●●○○ 0011001100   0011001100  
depend       205      ●○●●○○●●○○ 0011001101   1011001100  
depict       206      ○●●●○○●●○○ 0011001110   0111001100  
deploy       207      ●●●●○○●●○○ 0011001111   1111001100  
describe     208      ○○○○●○●●○○ 0011010000   0000101100  
desert       209      ●○○○●○●●○○ 0011010001   1000101100  
desire       210      ○●○○●○●●○○ 0011010010   0100101100  
desktop      211      ●●○○●○●●○○ 0011010011   1100101100  
destroy      212      ○○●○●○●●○○ 0011010100   0010101100  
detailed     213      ●○●○●○●●○○ 0011010101   1010101100  
detect       214      ○●●○●○●●○○ 0011010110   0110101100  
device       215      ●●●○●○●●○○ 0011010111   1110101100  
devote       216      ○○○●●○●●○○ 0011011000   0001101100  
diagnose     217      ●○○●●○●●○○ 0011011001   1001101100  
dictate      218      ○●○●●○●●○○ 0011011010   0101101100  
diet         219      ●●○●●○●●○○ 0011011011   1101101100  
dilemma      220      ○○●●●○●●○○ 0011011100   0011101100  
diminish     221      ●○●●●○●●○○ 0011011101   1011101100  
dining       222      ○●●●●○●●○○ 0011011110   0111101100  
diploma      223      ●●●●●○●●○○ 0011011111   1111101100  
disaster     224      ○○○○○●●●○○ 0011100000   0000011100  
discuss      225      ●○○○○●●●○○ 0011100001   1000011100  
disease      226      ○●○○○●●●○○ 0011100010   0100011100  
dish         227      ●●○○○●●●○○ 0011100011   1100011100  
dismiss      228      ○○●○○●●●○○ 0011100100   0010011100  
display      229      ●○●○○●●●○○ 0011100101   1010011100  
distance     230      ○●●○○●●●○○ 0011100110   0110011100  
dive         231      ●●●○○●●●○○ 0011100111   1110011100  
divorce      232      ○○○●○●●●○○ 0011101000   0001011100  
document     233      ●○○●○●●●○○ 0011101001   1001011100  
domain       234      ○●○●○●●●○○ 0011101010   0101011100  
domestic     235      ●●○●○●●●○○ 0011101011   1101011100  
dominant     236      ○○●●○●●●○○ 0011101100   0011011100  
dough        237      ●○●●○●●●○○ 0011101101   1011011100  
downtown     238      ○●●●○●●●○○ 0011101110   0111011100  
dragon       239      ●●●●○●●●○○ 0011101111   1111011100  
dramatic     240      ○○○○●●●●○○ 0011110000   0000111100  
dream        241      ●○○○●●●●○○ 0011110001   1000111100  
dress        242      ○●○○●●●●○○ 0011110010   0100111100  
drift        243      ●●○○●●●●○○ 0011110011   1100111100  
drink        244      ○○●○●●●●○○ 0011110100   0010111100  
drove        245      ●○●○●●●●○○ 0011110101   1010111100  
drug         246      ○●●○●●●●○○ 0011110110   0110111100  
dryer        247      ●●●○●●●●○○ 0011110111   1110111100  
duckling     248      ○○○●●●●●○○ 0011111000   0001111100  
duke         249      ●○○●●●●●○○ 0011111001   1001111100  
duration     250      ○●○●●●●●○○ 0011111010   0101111100  
dwarf        251      ●●○●●●●●○○ 0011111011   1101111100  
dynamic      252      ○○●●●●●●○○ 0011111100   0011111100  
early        253      ●○●●●●●●○○ 0011111101   1011111100  
earth        254      ○●●●●●●●○○ 0011111110   0111111100  
easel        255      ●●●●●●●●○○ 0011111111   1111111100  
easy         256      ○○○○○○○○●○ 0100000000   0000000010  
echo         257      ●○○○○○○○●○ 0100000001   1000000010  
eclipse      258      ○●○○○○○○●○ 0100000010   0100000010  
ecology      259      ●●○○○○○○●○ 0100000011   1100000010  
edge         260      ○○●○○○○○●○ 0100000100   0010000010  
editor       261      ●○●○○○○○●○ 0100000101   1010000010  
educate      262      ○●●○○○○○●○ 0100000110   0110000010  
either       263      ●●●○○○○○●○ 0100000111   1110000010  
elbow        264      ○○○●○○○○●○ 0100001000   0001000010  
elder        265      ●○○●○○○○●○ 0100001001   1001000010  
election     266      ○●○●○○○○●○ 0100001010   0101000010  
elegant      267      ●●○●○○○○●○ 0100001011   1101000010  
element      268      ○○●●○○○○●○ 0100001100   0011000010  
elephant     269      ●○●●○○○○●○ 0100001101   1011000010  
elevator     270      ○●●●○○○○●○ 0100001110   0111000010  
elite        271      ●●●●○○○○●○ 0100001111   1111000010  
else         272      ○○○○●○○○●○ 0100010000   0000100010  
email        273      ●○○○●○○○●○ 0100010001   1000100010  
emerald      274      ○●○○●○○○●○ 0100010010   0100100010  
emission     275      ●●○○●○○○●○ 0100010011   1100100010  
emperor      276      ○○●○●○○○●○ 0100010100   0010100010  
emphasis     277      ●○●○●○○○●○ 0100010101   1010100010  
employer     278      ○●●○●○○○●○ 0100010110   0110100010  
empty        279      ●●●○●○○○●○ 0100010111   1110100010  
ending       280      ○○○●●○○○●○ 0100011000   0001100010  
endless      281      ●○○●●○○○●○ 0100011001   1001100010  
endorse      282      ○●○●●○○○●○ 0100011010   0101100010  
enemy        283      ●●○●●○○○●○ 0100011011   1101100010  
energy       284      ○○●●●○○○●○ 0100011100   0011100010  
enforce      285      ●○●●●○○○●○ 0100011101   1011100010  
engage       286      ○●●●●○○○●○ 0100011110   0111100010  
enjoy        287      ●●●●●○○○●○ 0100011111   1111100010  
enlarge      288      ○○○○○●○○●○ 0100100000   0000010010  
entrance     289      ●○○○○●○○●○ 0100100001   1000010010  
envelope     290      ○●○○○●○○●○ 0100100010   0100010010  
envy         291      ●●○○○●○○●○ 0100100011   1100010010  
epidemic     292      ○○●○○●○○●○ 0100100100   0010010010  
episode      293      ●○●○○●○○●○ 0100100101   1010010010  
equation     294      ○●●○○●○○●○ 0100100110   0110010010  
equip        295      ●●●○○●○○●○ 0100100111   1110010010  
eraser       296      ○○○●○●○○●○ 0100101000   0001010010  
erode        297      ●○○●○●○○●○ 0100101001   1001010010  
escape       298      ○●○●○●○○●○ 0100101010   0101010010  
estate       299      ●●○●○●○○●○ 0100101011   1101010010  
estimate     300      ○○●●○●○○●○ 0100101100   0011010010  
evaluate     301      ●○●●○●○○●○ 0100101101   1011010010  
evening      302      ○●●●○●○○●○ 0100101110   0111010010  
evidence     303      ●●●●○●○○●○ 0100101111   1111010010  
evil         304      ○○○○●●○○●○ 0100110000   0000110010  
evoke        305      ●○○○●●○○●○ 0100110001   1000110010  
exact        306      ○●○○●●○○●○ 0100110010   0100110010  
example      307      ●●○○●●○○●○ 0100110011   1100110010  
exceed       308      ○○●○●●○○●○ 0100110100   0010110010  
exchange     309      ●○●○●●○○●○ 0100110101   1010110010  
exclude      310      ○●●○●●○○●○ 0100110110   0110110010  
excuse       311      ●●●○●●○○●○ 0100110111   1110110010  
execute      312      ○○○●●●○○●○ 0100111000   0001110010  
exercise     313      ●○○●●●○○●○ 0100111001   1001110010  
exhaust      314      ○●○●●●○○●○ 0100111010   0101110010  
exotic       315      ●●○●●●○○●○ 0100111011   1101110010  
expand       316      ○○●●●●○○●○ 0100111100   0011110010  
expect       317      ●○●●●●○○●○ 0100111101   1011110010  
explain      318      ○●●●●●○○●○ 0100111110   0111110010  
express      319      ●●●●●●○○●○ 0100111111   1111110010  
extend       320      ○○○○○○●○●○ 0101000000   0000001010  
extra        321      ●○○○○○●○●○ 0101000001   1000001010  
eyebrow      322      ○●○○○○●○●○ 0101000010   0100001010  
facility     323      ●●○○○○●○●○ 0101000011   1100001010  
fact         324      ○○●○○○●○●○ 0101000100   0010001010  
failure      325      ●○●○○○●○●○ 0101000101   1010001010  
faint        326      ○●●○○○●○●○ 0101000110   0110001010  
fake         327      ●●●○○○●○●○ 0101000111   1110001010  
false        328      ○○○●○○●○●○ 0101001000   0001001010  
family       329      ●○○●○○●○●○ 0101001001   1001001010  
famous       330      ○●○●○○●○●○ 0101001010   0101001010  
fancy        331      ●●○●○○●○●○ 0101001011   1101001010  
fangs        332      ○○●●○○●○●○ 0101001100   0011001010  
fantasy      333      ●○●●○○●○●○ 0101001101   1011001010  
fatal        334      ○●●●○○●○●○ 0101001110   0111001010  
fatigue      335      ●●●●○○●○●○ 0101001111   1111001010  
favorite     336      ○○○○●○●○●○ 0101010000   0000101010  
fawn         337      ●○○○●○●○●○ 0101010001   1000101010  
fiber        338      ○●○○●○●○●○ 0101010010   0100101010  
fiction      339      ●●○○●○●○●○ 0101010011   1100101010  
filter       340      ○○●○●○●○●○ 0101010100   0010101010  
finance      341      ●○●○●○●○●○ 0101010101   1010101010  
findings     342      ○●●○●○●○●○ 0101010110   0110101010  
finger       343      ●●●○●○●○●○ 0101010111   1110101010  
firefly      344      ○○○●●○●○●○ 0101011000   0001101010  
firm         345      ●○○●●○●○●○ 0101011001   1001101010  
fiscal       346      ○●○●●○●○●○ 0101011010   0101101010  
fishing      347      ●●○●●○●○●○ 0101011011   1101101010  
fitness      348      ○○●●●○●○●○ 0101011100   0011101010  
flame        349      ●○●●●○●○●○ 0101011101   1011101010  
flash        350      ○●●●●○●○●○ 0101011110   0111101010  
flavor       351      ●●●●●○●○●○ 0101011111   1111101010  
flea         352      ○○○○○●●○●○ 0101100000   0000011010  
flexible     353      ●○○○○●●○●○ 0101100001   1000011010  
flip         354      ○●○○○●●○●○ 0101100010   0100011010  
float        355      ●●○○○●●○●○ 0101100011   1100011010  
floral       356      ○○●○○●●○●○ 0101100100   0010011010  
fluff        357      ●○●○○●●○●○ 0101100101   1010011010  
focus        358      ○●●○○●●○●○ 0101100110   0110011010  
forbid       359      ●●●○○●●○●○ 0101100111   1110011010  
force        360      ○○○●○●●○●○ 0101101000   0001011010  
forecast     361      ●○○●○●●○●○ 0101101001   1001011010  
forget       362      ○●○●○●●○●○ 0101101010   0101011010  
formal       363      ●●○●○●●○●○ 0101101011   1101011010  
fortune      364      ○○●●○●●○●○ 0101101100   0011011010  
forward      365      ●○●●○●●○●○ 0101101101   1011011010  
founder      366      ○●●●○●●○●○ 0101101110   0111011010  
fraction     367      ●●●●○●●○●○ 0101101111   1111011010  
fragment     368      ○○○○●●●○●○ 0101110000   0000111010  
frequent     369      ●○○○●●●○●○ 0101110001   1000111010  
freshman     370      ○●○○●●●○●○ 0101110010   0100111010  
friar        371      ●●○○●●●○●○ 0101110011   1100111010  
fridge       372      ○○●○●●●○●○ 0101110100   0010111010  
friendly     373      ●○●○●●●○●○ 0101110101   1010111010  
frost        374      ○●●○●●●○●○ 0101110110   0110111010  
froth        375      ●●●○●●●○●○ 0101110111   1110111010  
frozen       376      ○○○●●●●○●○ 0101111000   0001111010  
fumes        377      ●○○●●●●○●○ 0101111001   1001111010  
funding      378      ○●○●●●●○●○ 0101111010   0101111010  
furl         379      ●●○●●●●○●○ 0101111011   1101111010  
fused        380      ○○●●●●●○●○ 0101111100   0011111010  
galaxy       381      ●○●●●●●○●○ 0101111101   1011111010  
game         382      ○●●●●●●○●○ 0101111110   0111111010  
garbage      383      ●●●●●●●○●○ 0101111111   1111111010  
garden       384      ○○○○○○○●●○ 0110000000   0000000110  
garlic       385      ●○○○○○○●●○ 0110000001   1000000110  
gasoline     386      ○●○○○○○●●○ 0110000010   0100000110  
gather       387      ●●○○○○○●●○ 0110000011   1100000110  
general      388      ○○●○○○○●●○ 0110000100   0010000110  
genius       389      ●○●○○○○●●○ 0110000101   1010000110  
genre        390      ○●●○○○○●●○ 0110000110   0110000110  
genuine      391      ●●●○○○○●●○ 0110000111   1110000110  
geology      392      ○○○●○○○●●○ 0110001000   0001000110  
gesture      393      ●○○●○○○●●○ 0110001001   1001000110  
glad         394      ○●○●○○○●●○ 0110001010   0101000110  
glance       395      ●●○●○○○●●○ 0110001011   1101000110  
glasses      396      ○○●●○○○●●○ 0110001100   0011000110  
glen         397      ●○●●○○○●●○ 0110001101   1011000110  
glimpse      398      ○●●●○○○●●○ 0110001110   0111000110  
goat         399      ●●●●○○○●●○ 0110001111   1111000110  
golden       400      ○○○○●○○●●○ 0110010000   0000100110  
graduate     401      ●○○○●○○●●○ 0110010001   1000100110  
grant        402      ○●○○●○○●●○ 0110010010   0100100110  
grasp        403      ●●○○●○○●●○ 0110010011   1100100110  
gravity      404      ○○●○●○○●●○ 0110010100   0010100110  
gray         405      ●○●○●○○●●○ 0110010101   1010100110  
greatest     406      ○●●○●○○●●○ 0110010110   0110100110  
grief        407      ●●●○●○○●●○ 0110010111   1110100110  
grill        408      ○○○●●○○●●○ 0110011000   0001100110  
grin         409      ●○○●●○○●●○ 0110011001   1001100110  
grocery      410      ○●○●●○○●●○ 0110011010   0101100110  
gross        411      ●●○●●○○●●○ 0110011011   1101100110  
group        412      ○○●●●○○●●○ 0110011100   0011100110  
grownup      413      ●○●●●○○●●○ 0110011101   1011100110  
grumpy       414      ○●●●●○○●●○ 0110011110   0111100110  
guard        415      ●●●●●○○●●○ 0110011111   1111100110  
guest        416      ○○○○○●○●●○ 0110100000   0000010110  
guilt        417      ●○○○○●○●●○ 0110100001   1000010110  
guitar       418      ○●○○○●○●●○ 0110100010   0100010110  
gums         419      ●●○○○●○●●○ 0110100011   1100010110  
hairy        420      ○○●○○●○●●○ 0110100100   0010010110  
hamster      421      ●○●○○●○●●○ 0110100101   1010010110  
hand         422      ○●●○○●○●●○ 0110100110   0110010110  
hanger       423      ●●●○○●○●●○ 0110100111   1110010110  
harvest      424      ○○○●○●○●●○ 0110101000   0001010110  
have         425      ●○○●○●○●●○ 0110101001   1001010110  
havoc        426      ○●○●○●○●●○ 0110101010   0101010110  
hawk         427      ●●○●○●○●●○ 0110101011   1101010110  
hazard       428      ○○●●○●○●●○ 0110101100   0011010110  
headset      429      ●○●●○●○●●○ 0110101101   1011010110  
health       430      ○●●●○●○●●○ 0110101110   0111010110  
hearing      431      ●●●●○●○●●○ 0110101111   1111010110  
heat         432      ○○○○●●○●●○ 0110110000   0000110110  
helpful      433      ●○○○●●○●●○ 0110110001   1000110110  
herald       434      ○●○○●●○●●○ 0110110010   0100110110  
herd         435      ●●○○●●○●●○ 0110110011   1100110110  
hesitate     436      ○○●○●●○●●○ 0110110100   0010110110  
hobo         437      ●○●○●●○●●○ 0110110101   1010110110  
holiday      438      ○●●○●●○●●○ 0110110110   0110110110  
holy         439      ●●●○●●○●●○ 0110110111   1110110110  
home         440      ○○○●●●○●●○ 0110111000   0001110110  
hormone      441      ●○○●●●○●●○ 0110111001   1001110110  
hospital     442      ○●○●●●○●●○ 0110111010   0101110110  
hour         443      ●●○●●●○●●○ 0110111011   1101110110  
huge         444      ○○●●●●○●●○ 0110111100   0011110110  
human        445      ●○●●●●○●●○ 0110111101   1011110110  
humidity     446      ○●●●●●○●●○ 0110111110   0111110110  
hunting      447      ●●●●●●○●●○ 0110111111   1111110110  
husband      448      ○○○○○○●●●○ 0111000000   0000001110  
hush         449      ●○○○○○●●●○ 0111000001   1000001110  
husky        450      ○●○○○○●●●○ 0111000010   0100001110  
hybrid       451      ●●○○○○●●●○ 0111000011   1100001110  
idea         452      ○○●○○○●●●○ 0111000100   0010001110  
identify     453      ●○●○○○●●●○ 0111000101   1010001110  
idle         454      ○●●○○○●●●○ 0111000110   0110001110  
image        455      ●●●○○○●●●○ 0111000111   1110001110  
impact       456      ○○○●○○●●●○ 0111001000   0001001110  
imply        457      ●○○●○○●●●○ 0111001001   1001001110  
improve      458      ○●○●○○●●●○ 0111001010   0101001110  
impulse      459      ●●○●○○●●●○ 0111001011   1101001110  
include      460      ○○●●○○●●●○ 0111001100   0011001110  
income       461      ●○●●○○●●●○ 0111001101   1011001110  
increase     462      ○●●●○○●●●○ 0111001110   0111001110  
index        463      ●●●●○○●●●○ 0111001111   1111001110  
indicate     464      ○○○○●○●●●○ 0111010000   0000101110  
industry     465      ●○○○●○●●●○ 0111010001   1000101110  
infant       466      ○●○○●○●●●○ 0111010010   0100101110  
inform       467      ●●○○●○●●●○ 0111010011   1100101110  
inherit      468      ○○●○●○●●●○ 0111010100   0010101110  
injury       469      ●○●○●○●●●○ 0111010101   1010101110  
inmate       470      ○●●○●○●●●○ 0111010110   0110101110  
insect       471      ●●●○●○●●●○ 0111010111   1110101110  
inside       472      ○○○●●○●●●○ 0111011000   0001101110  
install      473      ●○○●●○●●●○ 0111011001   1001101110  
